0_0 #78b3f2
1_0 #ca1904
3_0 #67c1fd
6_0 #1b2d03
7_0 #a1df10
9_0 #fddeb7
12_0 #ab7653
13_0 #993a18
14_0 #35a20d
15_0 #7c91a5
16_0 #7e97ab
17_0 #a9512b
18_0 #3c6e6d
19_0 #1d6866
20_0 #8d8d8d
21_0 #846322
22_0 #719746
23_0 #658538
24_0 #3e2d1b
25_0 #6f2b30
28_0 #5d4326
29_0 #636363
0_1 #66a7eb
1_1 #bc1804
3_1 #44adfc
12_1 #43a1fc
13_1 #f04008
14_1 #9d4826
15_1 #827f28
16_1 #07bf06
17_1 #9f451f
18_1 #c1955d
19_1 #987042
21_1 #5c5a22
22_1 #6a812f
23_1 #69701d
24_1 #6a502a
25_1 #422318
26_1 #555555
27_1 #977141
28_1 #79673b
29_1 #272112
0_2 #68a9ec
1_2 #bf1704
12_2 #3b1e07
13_2 #067e06
14_2 #fce2b0
15_2 #39ae0d
16_2 #83a359
17_2 #8e9927
18_2 #b1824b
19_2 #cfa065
20_2 #aa7c46
21_2 #a37947
22_2 #ffcb87
23_2 #7a583f
24_2 #696969
25_2 #6e6e6e
26_2 #323232
27_2 #343434
0_3 #4b95e3
1_3 #ab1504
3_3 #098cff
12_3 #000000
13_3 #00be00
14_3 #48c4ff
17_3 #6a6a6a
18_3 #c8595a
19_3 #c85859
20_3 #9d6d38
21_3 #a87c49
22_3 #eba563
23_3 #9f380a
24_3 #6f5661
25_3 #705862
26_3 #36242c
27_3 #38242d
0_4 #5a9fdd
3_4 #78d3ff
4_4 #dc9d33
6_4 #777477
9_4 #605d60
11_4 #635f63
12_4 #8a394b
13_4 #952d44
14_4 #ad7c44
15_4 #b0850c
16_4 #ad004a
17_4 #65a1fb
18_4 #ca8b69
19_4 #c98b69
20_4 #2f942c
21_4 #2e9b2c
22_4 #379e35
23_4 #3d9a39
24_4 #5a4020
25_4 #474617
26_4 #404616
27_4 #4b4b4b
28_4 #688193
29_4 #676063
0_5 #438cc3
6_5 #8c898c
9_5 #716f71
10_5 #7a777a
11_5 #7a767b
12_5 #7d254b
13_5 #881647
14_5 #957956
15_5 #1a0500
16_5 #ef355d
17_5 #b33205
18_5 #703810
19_5 #56280c
20_5 #672709
21_5 #002700
22_5 #379d35
23_5 #3c9a38
24_5 #806961
25_5 #777462
26_5 #687362
27_5 #687077
28_5 #424242
29_5 #474647
12_6 #767376
13_6 #6f644d
14_6 #955d47
15_6 #67b8f4
16_6 #59d955
17_6 #2a8123
18_6 #2c9529
19_6 #2b9428
20_6 #683512
21_6 #6b3612
22_6 #693713
23_6 #411e09
24_6 #7e616d
25_6 #2e2e2e
26_6 #727272
28_6 #545354
29_6 #565556
0_7 #06527a
9_7 #656265
10_7 #6c6a6c
11_7 #6a666b
12_7 #606060
13_7 #5191bd
14_7 #853529
15_7 #aee5ff
16_7 #137bfa
17_7 #fbd87d
20_7 #1c6b19
21_7 #1a6217
22_7 #7c4030
23_7 #7dade4
24_7 #6b3c50
25_7 #5b404c
26_7 #615b40
27_7 #575345
28_7 #495940
29_7 #485043
3_8 #55900b
6_8 #869756
7_8 #865c75
9_8 #547b10
10_8 #433426
11_8 #3c2916
12_8 #7c5a2e
13_8 #498bc0
14_8 #a67f44
15_8 #b37939
16_8 #5daa44
17_8 #a78145
22_8 #48485d
23_8 #5f5653
24_8 #485461
25_8 #474e55
26_8 #6c5b29
27_8 #5c4a14
3_9 #642c2a
5_9 #853938
6_9 #88a1b9
7_9 #8491a2
9_9 #3d3c3d
10_9 #574816
11_9 #63472b
12_9 #229721
13_9 #e5f3e5
14_9 #4e7e44
15_9 #9b9b9b
16_9 #7e7e7e
17_9 #747474
18_9 #545454
19_9 #8f7048
20_9 #874e26
23_9 #565352
24_9 #a14f2d
25_9 #9d4e2d
26_9 #3b3b3b
27_9 #575757
28_9 #472d1c
29_9 #866030
0_10 #585658
1_10 #b4aeb4
2_10 #656165
3_10 #4e4c4e
4_10 #4e4e4e
5_10 #494949
6_10 #4374d7
7_10 #88a7f3
9_10 #858385
10_10 #492512
11_10 #343734
12_10 #6c2919
13_10 #57a457
14_10 #cda88a
15_10 #527a9a
16_10 #7d7d7d
17_10 #707070
18_10 #5c5c5c
20_10 #8c4140
21_10 #734056
22_10 #613f4d
23_10 #9b7942
24_10 #9d4753
25_10 #894024
26_10 #464446
27_10 #504e50
28_10 #533418
29_10 #583313
1_11 #666366
2_11 #6c686c
3_11 #514f51
4_11 #4b4a4b
5_11 #505050
6_11 #649afc
7_11 #5070b4
10_11 #3a1a0c
11_11 #6a4a2b
12_11 #898989
13_11 #8c8c8c
14_11 #bd6826
15_11 #aa5d22
16_11 #8b4b1a
17_11 #8f4e1d
18_11 #9e753d
20_11 #544325
21_11 #816639
23_11 #4d4d4d
24_11 #634753
25_11 #808080
26_11 #636163
27_11 #625f62
28_11 #1d1c1d
29_11 #633914
0_12 #5e8a0d
1_12 #73695f
2_12 #bc9152
3_12 #aaa633
4_12 #709c6b
5_12 #cc3809
6_12 #6b676b
7_12 #50351c
8_12 #686368
9_12 #1a5404
10_12 #135413
11_12 #7d5226
12_12 #878787
13_12 #868686
14_12 #bd6927
15_12 #aa5f24
16_12 #501a06
17_12 #4b1b06
18_12 #3f271a
19_12 #926c46
22_12 #613728
23_12 #2f2f2f
24_12 #3e3224
25_12 #7f5d56
26_12 #8a5a39
27_12 #8c6336
28_12 #3f3e3f
29_12 #474547
0_13 #923e11
1_13 #9c5620
2_13 #91451d
3_13 #8d330f
4_13 #0449bd
5_13 #9b2604
6_13 #8d8b8d
7_13 #5b260a
8_13 #686464
9_13 #206006
10_13 #187318
11_13 #b2894c
12_13 #8b8b8b
14_13 #595959
15_13 #998240
16_13 #a5530c
18_13 #9e733c
19_13 #8a6131
20_13 #694a58
21_13 #525252
22_13 #9d834b
24_13 #463428
25_13 #62312f
26_13 #881026
27_13 #655b51
28_13 #4d4c4d
29_13 #444544
0_14 #7a2d0d
1_14 #934219
2_14 #7f2206
3_14 #974d20
4_14 #b3b1b3
5_14 #3994bd
6_14 #888589
7_14 #9e7e29
8_14 #979597
9_14 #0d3704
10_14 #0b320b
11_14 #1a801a
12_14 #737373
13_14 #6c4153
14_14 #6f4457
15_14 #96771d
18_14 #2f5d14
19_14 #3f331c
20_14 #741f31
