0_0 #5ba8fa
1_0 #cc3204
3_0 #48c4ff
6_0 #30890a
7_0 #aae611
9_0 #ffeac3
12_0 #fc4206
14_0 #06bf06
15_0 #0682fc
18_0 #00edde
20_0 #c4c4c4
21_0 #b58700
24_0 #ffaa50
29_0 #ffffff
12_1 #fcfefc
16_1 #c1fa22
26_1 #878787
1_2 #9c1e04
14_2 #fce4b2
22_2 #ffe5b1
3_3 #41c2ff
12_3 #000000
13_3 #00be00
17_3 #838383
23_3 #931d00
6_4 #848084
9_4 #979297
11_4 #533d1f
12_4 #ff2b58
14_4 #f7ae5d
15_4 #949294
16_4 #e90064
20_4 #64de60
22_4 #00b100
11_5 #423d42
15_5 #b11800
17_5 #ff4100
18_5 #e96818
21_5 #006400
25_5 #b29c0a
14_6 #f94000
17_7 #fbde83
22_7 #f98161
23_7 #993477
3_8 #3e950d
7_8 #9b9ba8
10_8 #bcbebc
11_8 #fcaa54
22_8 #bbbbbb
3_9 #ec0264
6_9 #7baee1
7_9 #5e98da
9_9 #848284
10_9 #fc9a04
11_9 #cc6604
13_9 #f9f9f9
6_10 #649afc
28_10 #dd751f
1_12 #fc9a3c
2_12 #e46e1c
4_12 #f4ae5c
6_12 #746e74
7_12 #040204
9_12 #247a04
10_12 #04aa04
11_12 #0c0204
16_12 #a02b0a
1_13 #b48604
4_13 #0462fc
7_13 #cc4e0c
8_13 #747674
26_13 #f70042
4_14 #c4c2c4
5_14 #4cc6fc
26_14 #f2faff
29_14 #ef8d67
2_15 #848684
4_15 #044a64
7_15 #04cefc
22_15 #0061f9
27_15 #b23118
