0_0 #5ba8fa
1_0 #cc0204
3_0 #48c4ff
6_0 #000000
7_0 #aae611
9_0 #ffeac3
12_0 #060306
14_0 #06bf06
16_0 #fcfefc
17_0 #fc4206
18_0 #009393
19_0 #f9f9f9
20_0 #ffffff
21_0 #61f99f
23_1 #b58700
14_2 #fce4b2
22_2 #ffaa50
25_2 #c4c4c4
0_3 #448dd9
1_3 #9c1e04
3_3 #0083ff
13_3 #00be00
18_3 #ffe5b1
22_3 #e96818
12_4 #ff2b58
14_4 #f7ae5d
15_4 #b48604
16_4 #e90064
17_4 #0061f9
20_4 #00b100
21_4 #64de60
15_5 #b11800
12_6 #979297
15_6 #0081f9
29_6 #c3bfc3
0_7 #064b65
17_7 #fbde83
7_8 #0d0e2c
5_9 #040204
1_10 #c4bec4
6_10 #3466cc
7_10 #cccefc
12_10 #931d00
16_10 #878787
5_11 #bcbebc
6_11 #649afc
9_11 #848284
17_11 #dd751f
1_12 #fc9a3c
2_12 #fcde84
5_12 #cc3204
9_12 #247a04
1_13 #fcaa54
4_13 #0462fc
6_13 #c4c2c4
9_13 #0c5604
5_14 #4cc6fc
11_14 #04aa04
4_15 #044a64
10_15 #cccecc
